"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","977","should show error for invalid password","chromium","2025-12-17","passed","2025-12-17","SauceDemo Login Tests > Invalid Credentials Handling","ui/auth/login.spec.ts","",""
"","1070","should dismiss error message","Mobile Chrome","2025-12-17","passed","2025-12-17","SauceDemo Checkout Tests > Form Field Validation","ui/checkout/checkout.spec.ts","",""
"","1010","should sort price low to high","Mobile Chrome","2025-12-17","passed","2025-12-17","SauceDemo Product Tests > Sorting Functionality","ui/products/products.spec.ts","",""
"","1146","should show quantity for multiple items","firefox","2025-12-17","passed","2025-12-17","SauceDemo Cart Tests > Cart Display Details","ui/cart/cart.spec.ts","",""
"","1043","should display all product prices","Mobile Safari","2025-12-17","passed","2025-12-17","SauceDemo Product Tests > Product Display Verification","ui/products/products.spec.ts","",""
"","1240","should display item details correctly","Mobile Safari","2025-12-17","passed","2025-12-17","SauceDemo Cart Tests > Cart Item Details","ui/cart/cart.spec.ts","",""
"","1212","should verify total matches subtotal plus tax","Mobile Safari","2025-12-17","passed","2025-12-17","SauceDemo Checkout Tests > Order Summary","ui/checkout/checkout.spec.ts","",""
"","1117","should calculate multiple items total","Mobile Safari","2025-12-17","passed","2025-12-17","SauceDemo Cart Tests > Cart Calculations","ui/cart/cart.spec.ts","",""
"","1036","should add product by index","Mobile Chrome","2025-12-17","passed","2025-12-17","SauceDemo Product Tests > Add to Cart Operations","ui/products/products.spec.ts","",""
"","1253","should remove multiple items","firefox","2025-12-17","passed","2025-12-17","SauceDemo Cart Tests > Remove Items from Cart","ui/cart/cart.spec.ts","",""
"","1100","should have default sort as A-Z","webkit","2025-12-17","passed","2025-12-17","SauceDemo Product Tests > Sorting Functionality","ui/products/products.spec.ts","",""
"","1049","should sort products A to Z","firefox","2025-12-17","passed","2025-12-17","SauceDemo Product Tests > Sorting Functionality","ui/products/products.spec.ts","",""
